model,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
"RandomForest (todas, score)",0.9998116406102844,1.0,0.9994797086368367,0.9997397866250325,1.0,0.9938488576449912,1.0,0.9830097087378641,0.9914320685434517,0.9997325416566369,0.9929701230228472,1.0,0.9805825242718447,0.9901960784313726,0.9996222150899998
"LogReg (todas, koi_score)",0.9960444528159729,0.991722710812209,0.9973985431841832,0.9945525291828794,0.9996216481761231,0.9956063268892794,1.0,0.9878640776699029,0.9938949938949939,0.9997760036374335,0.992091388400703,0.9926650366748166,0.9854368932038835,0.9890377588306942,0.9972184332290246
RandomForest (físicas),1.0,1.0,1.0,1.0,1.0,0.9745166959578208,0.9705159705159705,0.9587378640776699,0.9645909645909646,0.9960650191232716,0.9710017574692443,0.9610705596107056,0.9587378640776699,0.959902794653706,0.9945237904196421
MLP (físicas),0.9875682802787719,0.9744376278118609,0.991675338189386,0.9829809179989686,0.998601035298397,0.968365553602812,0.9563106796116505,0.9563106796116505,0.9563106796116505,0.9899769985824708,0.9525483304042179,0.9241706161137441,0.9466019417475728,0.935251798561151,0.9866705448126455
SVM (físicas),0.9649651535129026,0.920135527589545,0.9890738813735692,0.9533600802407222,0.9938665682306744,0.9569420035149385,0.9153318077803204,0.970873786407767,0.9422850412249706,0.992818743480703,0.9507908611599297,0.9027149321266968,0.9684466019417476,0.9344262295081968,0.9863863703228222
Árbol (físicas),0.9638349971746092,0.9312063808574277,0.9719042663891779,0.9511201629327902,0.9964796229201018,0.9393673110720563,0.8888888888888888,0.9514563106796117,0.9191090269636577,0.9792569338575516,0.9472759226713533,0.9018264840182648,0.9587378640776699,0.9294117647058824,0.9735232956217069
LogReg (físicas),0.9384064795630063,0.8821274556780067,0.9578563995837669,0.9184335245697182,0.9809300234999033,0.9323374340949033,0.869757174392936,0.9563106796116505,0.9109826589595376,0.979024579421755,0.9358523725834798,0.8826185101580135,0.9490291262135923,0.9146198830409357,0.9801512476931717
KNN (físicas),0.9493313241665097,0.8964028776978418,0.9724245577523413,0.9328674819066634,0.9927471046023741,0.9305799648506151,0.8596112311015118,0.9660194174757282,0.9097142857142857,0.9738041268822382,0.9323374340949033,0.869757174392936,0.9563106796116505,0.9109826589595376,0.9763733985931691
Dummy (mayoría),0.6379732529666604,0.0,0.0,0.0,0.5,0.6379613356766256,0.0,0.0,0.0,0.5,0.6379613356766256,0.0,0.0,0.0,0.5
